Name of Resource,Focus,Description (note: only free resources included),In list or highlighting?,Organization,Topic ,Phase,Image,Link
,"Global, US, or Local",(max of 150 words),(List or Highlight),Developing organization,unstructured,"planning, preparedness, response, recovery",,
"Coronavirus Could Overwhelm U.S. Without Urgent Action, Estimates Say",US and Local,Data visualization showing how social distancing measures impact the speed and severity of an outbreak at the county level. The tool also compares the healthcare capacity by county. ,List,New York Times ,Modeling,Response,https://drive.google.com/open?id=1wQ94_LaryTl0qIArIwcrJjh-_eoBkUBq,https://www.nytimes.com/interactive/2020/03/20/us/coronavirus-model-us-outbreak.html
Rapid Urban Health Security Assessment (RUHSA) Tool,Local,This tool can help local leaders assess their current capacity for health security make good decisions as they help their communities prioritize and improve local capacity to respond to and prevent infectious disease threats. ,Highlight,Georgetown University Center for Global Heath Science & Security,Urban Security,Preparedness; Response,https://drive.google.com/open?id=1KWAhpgyWtBthTx9OvaRKjkzwmyc-hLiJ,https://georgetown.app.box.com/s/0sruh3cnji6txorqt2acgm0z9xx73ac1
Emergency Operations Center Assessment Checklist,Local,This checklist outlines critical elements needed when state and local governments perform assessments of existing Emergency Operations Centers.,Highlight,FEMA,Emergency Operations,Planning; Response,https://drive.google.com/open?id=17DBXg7kX4eKE4QzkdL4fZ60d9uKdDHB4,https://www.fema.gov/emergency-operations-center-assessment-checklist
Project N95,US and Local,"This national resource helps connect healthcare providers with critical equipment, such as N95 masks.",List,Project N95,PPE,Response,https://drive.google.com/open?id=1-1jr8-FCtXLLkVFwQ5YpYRh_-t0Gm-pA,https://www.projectn95.org/
Get Us PPE,US and Local,This national resouce helps connect healthcare providers with those who make or distribute critical Personal Protective Equipment.,List,Get Us PPE,PPE,Response,https://drive.google.com/open?id=1-1oKL8Pwzflnpys4eBu76mx5Cq-pXfOe,https://getusppe.org/
Mask Match,US and Local,This resource helps connect healthcare workers with spare masks and assists coordinating pickup and dropoff.  ,List,Mask Match,PPE,Response,https://drive.google.com/open?id=1-TxVSy8zQDPZnXaKcsBYNd7eKrmr_zAs,https://www.mask-match.com/
COVID Act Now: The U.S. Intervention Model,US and Local,"This data platform helps project infections, hospitalizations, and deaths across the United States, helping decision makers understand when and how COVID will affect their communities. It also helps model how public health interventions contain the spread of COVID-19. ",List,COVID Act Now,Modeling,Preparedness; Response,https://drive.google.com/open?id=1B9OcWXazYvhNzELVCCFtEE1Bo_mVLxb0,https://covidactnow.org/
Microsoftt Power Platform for Emergency Response,"Global, US and Local",The Microsoft Power Platform helps manage communications across an organization during an emergency response. ,List,Microsoft,Emergency Operations,Response; Recovery,https://drive.google.com/open?id=1drKewH1IxdUJrvPaUtApN1DNj2Zume-l,https://powerapps.microsoft.com/en-us/blog/emergency-response-solution-a-microsoft-power-platform-solution-for-healthcare-emergency-response/
"Social distancing and mobility reductions have reduced COVID-19 transmission in King County, WA",US,"This report quantifies the impact of policies on reducing COVID-19 in King County, Washington.",List,Institute for Disease Modeling,Modeling,Preparedness; Response,https://drive.google.com/open?id=19f-l1wyVhL0HkpO3Qe7Q8wykz4gLawrF,https://covid.idmod.org/data/Social_distancing_mobility_reductions_reduced_COVID_Seattle.pdf
John's Hopkins COVID-19 Global Case Tracker,"Global, US","This tracking tool shows a map of the global case counts, deaths, and recoveries from COVID-19. In the United States, it also shows state level data. It is regularly updated. ",Highlight,John's Hopkins,Caseload Mapping,Response,https://drive.google.com/open?id=1-Srj-eR6u9HLpJyZHOSBv9j3F0KgJtmg,https://coronavirus.jhu.edu/map.html
COVID-19 guidance and the latest research in the Americas,Global,"This database provides access to technical guidance, scientific publications, and ongoing research protocols. It is developed by the Pan American Health Organization and is focused on the Americas region of the world. Information obtained here may not necessarily align with U.S. guidance or information, but may be helpful regardless.",List,PAHO,Public Health Response,Preparedness; Response; Recovery,https://drive.google.com/open?id=1sFBrSvCXtpDGAcjD5uROF9MmlHwoGeCv,https://covid19-evidence.paho.org
Disaster Response Program,Local,The ArcGIS Hub allows you to build a website to visualize and analyze the COVID-19 outbreak with your organization’s or community’s population and data. The tools is provided free of charge through a complimentary six-month subscription.,Highlight,ESRI,Local Mapping ,Response,https://drive.google.com/open?id=1Ab9NkK9dHhP1rgf-mNx14ATMuQ9MG3H0,https://www.esri.com/en-us/disaster-response/overview
WHO Situational Reports,Global,"The World Health Organizaiton develops and posts daily situational reports outlining global developments, including spread and research and development.",Highlight,WHO,Public Health Response,Preparedness; Response,https://drive.google.com/open?id=1rLgZNJBf4_iu3wMrQwI57IWJHsabadAt,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/situation-reports 
COVID-19: What Mayors Need to Know,Local,"This resource, developed by the US Conference of Mayors, details city guidelines and operational best practices, contains resources for fiscal tracking, reimbursements, and supplies.",List,US Conference of Mayors,Public Health Response,Response,https://drive.google.com/open?id=1hGBgUKhpCTEVPbVeJo4zxlCwe-rDSxCX,https://www.usmayors.org/issues/covid-19/
Fiscal First Aid: Recovering from Financial Distress,Local,Disasters can cause significant financial distress for even the best-prepared local governments – resulting in a situation in which governments do not have sufficient resources to finance all of their responsibilities. This resource details 12 actions to help local-governments navigate the financial recovery process.,List,Government Finance Officers Association,Financing,Recovery,https://drive.google.com/open?id=1-k2O5gPpG_LcvNVm66Hj1extodPqdLuZ,https://www.gfoa.org/fiscal-first-aid
